Homie the Clown,118,6,https://www.imdb.com/title/tt0701128/ratings?ref_=tt_ov_rt,687,500,483,202,71,23,15,12,4,54,2051
Bart vs. Australia,119,6,https://www.imdb.com/title/tt0778446/ratings?ref_=tt_ov_rt,694,541,487,219,88,40,13,11,6,79,2178
Homer vs. Patty and Selma,120,6,https://www.imdb.com/title/tt0701119/ratings?ref_=tt_ov_rt,292,238,578,353,111,40,17,14,7,29,1679
A Star is Burns,121,6,https://www.imdb.com/title/tt0701045/ratings?ref_=tt_ov_rt,626,519,475,222,76,28,13,6,5,55,2025
Lisa's Wedding,122,6,https://www.imdb.com/title/tt0701165/ratings?ref_=tt_ov_rt,508,408,549,279,85,35,23,15,7,45,1954
Two Dozen and One Greyhounds,123,6,https://www.imdb.com/title/tt0701289/ratings?ref_=tt_ov_rt,367,338,580,259,83,45,17,12,4,33,1738
The PTA Disbands,124,6,https://www.imdb.com/title/tt0778454/ratings?ref_=tt_ov_rt,354,301,563,305,82,32,7,4,4,37,1689
'Round Springfield,125,6,https://www.imdb.com/title/tt0701041/ratings?ref_=tt_ov_rt,442,382,511,264,105,41,14,7,9,32,1807
The Springfield Connection,126,6,https://www.imdb.com/title/tt0778455/ratings?ref_=tt_ov_rt,352,350,569,262,83,34,11,5,3,33,1702
Lemon of Troy,127,6,https://www.imdb.com/title/tt0757018/ratings?ref_=tt_ov_rt,780,566,444,170,63,30,8,10,4,57,2132
Who Shot Mr. Burns? (Part One),128,6,https://www.imdb.com/title/tt0701294/ratings?ref_=tt_ov_rt,1380,690,361,134,60,20,7,2,4,72,2730
Who Shot Mr. Burns? (Part Two),129,7,https://www.imdb.com/title/tt0701295/ratings?ref_=tt_ov_rt,1045,668,421,165,62,24,7,4,2,67,2465
Radioactive Man,130,7,https://www.imdb.com/title/tt0701201/ratings?ref_=tt_ov_rt,459,404,542,262,85,34,12,6,8,48,1860
Home Sweet Homediddly-Dum-Doodily,131,7,https://www.imdb.com/title/tt0701108/ratings?ref_=tt_ov_rt,434,426,553,207,71,33,7,4,2,48,1785
Bart Sells His Soul,132,7,https://www.imdb.com/title/tt0763025/ratings?ref_=tt_ov_rt,807,669,421,192,47,23,16,4,4,60,2243
Lisa the Vegetarian,133,7,https://www.imdb.com/title/tt0701158/ratings?ref_=tt_ov_rt,603,553,476,249,71,36,25,6,3,87,2109
